Iteracion	Magnetizacion	Energia
0	0.031250	-0.054688
100	0.019531	-0.167969
200	0.041016	-0.269531
300	0.056641	-0.351562
400	0.068359	-0.425781
500	0.062500	-0.480469
600	0.054688	-0.507812
700	0.066406	-0.589844
800	0.054688	-0.593750
900	0.058594	-0.605469
1000	0.085938	-0.601562
1100	0.083984	-0.675781
1200	0.078125	-0.710938
1300	0.070312	-0.707031
1400	0.066406	-0.753906
1500	0.068359	-0.785156
1600	0.068359	-0.820312
1700	0.052734	-0.839844
1800	0.044922	-0.847656
1900	0.037109	-0.843750
2000	0.000000	-0.855469
2100	-0.019531	-0.878906
2200	0.017578	-0.906250
2300	0.025391	-0.921875
2400	0.033203	-0.949219
2500	0.017578	-0.988281
2600	0.023438	-0.984375
2700	0.015625	-0.984375
2800	0.007812	-1.015625
2900	-0.013672	-1.035156
3000	0.000000	-1.050781
3100	0.001953	-1.062500
3200	-0.009766	-1.078125
3300	-0.003906	-1.058594
3400	-0.011719	-1.078125
3500	-0.007812	-1.066406
3600	0.000000	-1.050781
3700	-0.025391	-1.066406
3800	-0.029297	-1.066406
3900	-0.037109	-1.085938
4000	-0.035156	-1.101562
4100	-0.044922	-1.105469
4200	-0.046875	-1.093750
4300	-0.066406	-1.113281
4400	-0.066406	-1.117188
4500	-0.066406	-1.109375
4600	-0.060547	-1.082031
4700	-0.066406	-1.085938
4800	-0.054688	-1.117188
4900	-0.074219	-1.132812
5000	-0.068359	-1.136719
5100	-0.068359	-1.152344
5200	-0.080078	-1.160156
5300	-0.083984	-1.160156
5400	-0.087891	-1.156250
5500	-0.099609	-1.136719
5600	-0.107422	-1.128906
5700	-0.101562	-1.132812
5800	-0.107422	-1.144531
5900	-0.099609	-1.175781
6000	-0.113281	-1.187500
6100	-0.105469	-1.214844
6200	-0.109375	-1.222656
6300	-0.107422	-1.246094
6400	-0.107422	-1.250000
6500	-0.113281	-1.250000
6600	-0.126953	-1.257812
6700	-0.126953	-1.269531
6800	-0.126953	-1.289062
6900	-0.136719	-1.296875
7000	-0.134766	-1.285156
7100	-0.125000	-1.281250
7200	-0.117188	-1.281250
7300	-0.113281	-1.285156
7400	-0.115234	-1.304688
7500	-0.126953	-1.312500
7600	-0.125000	-1.312500
7700	-0.105469	-1.324219
7800	-0.101562	-1.343750
7900	-0.105469	-1.343750
8000	-0.107422	-1.347656
8100	-0.099609	-1.332031
8200	-0.109375	-1.335938
8300	-0.117188	-1.347656
8400	-0.107422	-1.351562
8500	-0.113281	-1.343750
8600	-0.123047	-1.332031
8700	-0.111328	-1.343750
8800	-0.119141	-1.343750
8900	-0.117188	-1.343750
9000	-0.125000	-1.343750
9100	-0.140625	-1.390625
9200	-0.132812	-1.375000
9300	-0.138672	-1.398438
9400	-0.132812	-1.406250
9500	-0.132812	-1.421875
9600	-0.128906	-1.429688
9700	-0.140625	-1.433594
9800	-0.130859	-1.433594
9900	-0.125000	-1.410156
10000	-0.132812	-1.410156
10100	-0.132812	-1.406250
10200	-0.128906	-1.433594
10300	-0.126953	-1.453125
10400	-0.111328	-1.457031
10500	-0.103516	-1.453125
10600	-0.103516	-1.457031
10700	-0.101562	-1.429688
10800	-0.093750	-1.425781
