T	<M>	<E>	Cv	Chi
1.000000	0.603703	-1.901900	6.771298	136.043861
1.100000	0.981172	-1.987919	1.316769	10.102865
1.200000	0.135844	-1.814507	0.511604	10.763404
1.300000	0.986077	-1.975002	1.076826	3.497162
1.400000	0.775884	-1.916569	3.926588	94.165346
1.500000	0.965844	-1.943436	1.081606	9.670766
1.600000	0.966347	-1.922895	0.883409	4.998458
1.700000	0.966019	-1.893905	0.860637	1.201737
1.800000	0.939400	-1.850248	1.036794	5.135060
1.900000	0.901022	-1.795930	1.485335	14.228788
2.000000	0.886982	-1.735064	1.333500	8.361403
2.100000	0.858405	-1.653564	1.370520	3.678273
2.200000	0.750185	-1.527898	1.811792	9.014669
2.300000	0.577417	-1.372062	1.823868	15.413482
2.400000	0.278863	-1.194273	1.103871	12.872106
2.500000	0.203228	-1.106991	0.854925	7.399764
2.600000	0.152164	-1.032786	0.701789	4.578857
2.700000	0.135273	-0.967827	0.638635	3.648743
2.800000	0.105533	-0.908310	0.496378	2.317473
2.900000	0.090627	-0.857661	0.450244	1.714783
3.000000	0.085645	-0.816178	0.413299	1.445953
3.100000	0.078859	-0.780948	0.371809	1.197764
3.200000	0.072928	-0.742841	0.309297	0.956746
3.300000	0.069686	-0.713832	0.293287	0.828427
3.400000	0.065696	-0.685678	0.281626	0.741001
3.500000	0.065072	-0.660645	0.249495	0.694069
3.600000	0.060746	-0.635913	0.228561	0.623826
3.700000	0.055334	-0.614297	0.206749	0.464374
3.800000	0.055970	-0.594609	0.198628	0.487229
3.900000	0.051417	-0.573956	0.181032	0.392653
